:START_ID(Tag)|:END_ID(Tagclass)|:TYPE
1147|24|hasType
1148|211|hasType
1149|57|hasType
1150|349|hasType
1151|59|hasType
1152|349|hasType
1153|336|hasType
1154|57|hasType
1155|349|hasType
1156|349|hasType
1157|336|hasType
1158|336|hasType
1159|88|hasType
1160|148|hasType
1161|211|hasType
1162|98|hasType
1163|82|hasType
1164|193|hasType
1165|115|hasType
1166|349|hasType
1167|349|hasType
1168|211|hasType
1169|59|hasType
1170|98|hasType
1171|57|hasType
1172|211|hasType
1173|88|hasType
1174|332|hasType
1175|211|hasType
1176|250|hasType
1177|332|hasType
1178|88|hasType
1179|88|hasType
1180|88|hasType
1181|211|hasType
1182|211|hasType
1183|250|hasType
1184|332|hasType
1185|332|hasType
1186|88|hasType
1187|279|hasType
1188|98|hasType
1189|250|hasType
1190|332|hasType
1191|193|hasType
1192|336|hasType
1193|332|hasType
1194|349|hasType
1195|88|hasType
1196|211|hasType
1197|211|hasType
1198|332|hasType
1199|98|hasType
1200|336|hasType
1201|88|hasType
1202|211|hasType
1203|115|hasType
1204|250|hasType
1205|98|hasType
1206|82|hasType
1207|211|hasType
1208|332|hasType
1209|211|hasType
1210|211|hasType
1211|336|hasType
1212|250|hasType
1213|59|hasType
1214|211|hasType
1215|59|hasType
1216|250|hasType
1217|88|hasType
1218|332|hasType
1219|98|hasType
1220|115|hasType
1221|211|hasType
1222|336|hasType
1223|95|hasType
1224|211|hasType
1225|211|hasType
1226|279|hasType
1227|88|hasType
1228|211|hasType
1229|332|hasType
1230|98|hasType
1231|115|hasType
1232|332|hasType
1233|332|hasType
1234|336|hasType
1235|336|hasType
1236|332|hasType
1237|332|hasType
1238|211|hasType
1239|336|hasType
1240|279|hasType
1241|211|hasType
1242|82|hasType
1243|250|hasType
1244|250|hasType
1245|211|hasType
1246|59|hasType
1247|59|hasType
1248|211|hasType
1249|211|hasType
1250|193|hasType
1251|98|hasType
1252|349|hasType
1253|59|hasType
1254|336|hasType
1255|211|hasType
1256|332|hasType
1257|59|hasType
1258|349|hasType
1259|332|hasType
1260|332|hasType
1261|211|hasType
1262|211|hasType
1263|332|hasType
1264|88|hasType
1265|212|hasType
1266|211|hasType
1267|211|hasType
1268|219|hasType
1269|59|hasType
1270|211|hasType
1271|211|hasType
1272|332|hasType
1273|250|hasType
1274|332|hasType
1275|332|hasType
1276|332|hasType
1277|336|hasType
1278|95|hasType
1279|211|hasType
1280|332|hasType
1281|211|hasType
1282|332|hasType
1283|332|hasType
1284|279|hasType
1285|332|hasType
1286|211|hasType
1287|88|hasType
1288|82|hasType
1289|211|hasType
1290|211|hasType
1291|59|hasType
1292|74|hasType
1293|211|hasType
1294|95|hasType
1295|88|hasType
1296|211|hasType
1297|211|hasType
1298|59|hasType
1299|211|hasType
1300|59|hasType
1301|88|hasType
1302|332|hasType
1303|332|hasType
1304|59|hasType
1305|211|hasType
1306|88|hasType
1307|211|hasType
1308|250|hasType
1309|332|hasType
1310|211|hasType
1311|332|hasType
1312|74|hasType
1313|336|hasType
1314|211|hasType
1315|59|hasType
1316|279|hasType
1317|332|hasType
1318|94|hasType
1319|59|hasType
1320|115|hasType
1321|59|hasType
1322|59|hasType
1323|211|hasType
1324|74|hasType
1325|211|hasType
1326|82|hasType
1327|211|hasType
1328|250|hasType
1329|211|hasType
1330|211|hasType
1331|193|hasType
1332|336|hasType
1333|332|hasType
1334|332|hasType
1335|250|hasType
1336|336|hasType
1337|250|hasType
1338|212|hasType
1339|349|hasType
1340|211|hasType
1341|88|hasType
1342|332|hasType
1343|74|hasType
1344|211|hasType
1345|250|hasType
1346|250|hasType
1347|211|hasType
1348|332|hasType
1349|94|hasType
1350|332|hasType
1351|211|hasType
1352|59|hasType
1353|74|hasType
1354|211|hasType
1355|94|hasType
1356|59|hasType
1357|332|hasType
1358|211|hasType
1359|332|hasType
1360|336|hasType
1361|336|hasType
1362|250|hasType
1363|349|hasType
1364|336|hasType
1365|115|hasType
1366|74|hasType
1367|82|hasType
1368|332|hasType
1369|211|hasType
1370|211|hasType
1371|211|hasType
1372|250|hasType
1373|336|hasType
1374|336|hasType
1375|115|hasType
1376|211|hasType
1377|336|hasType
1378|61|hasType
1379|97|hasType
1380|115|hasType
1381|349|hasType
1382|211|hasType
1383|211|hasType
1384|336|hasType
1385|349|hasType
1386|115|hasType
1387|115|hasType
1388|88|hasType
1389|211|hasType
1390|211|hasType
1391|211|hasType
1392|211|hasType
1393|349|hasType
1394|211|hasType
1395|211|hasType
1396|211|hasType
1397|211|hasType
1398|336|hasType
1399|336|hasType
1400|3|hasType
1401|59|hasType
1402|349|hasType
1403|211|hasType
1404|349|hasType
1405|349|hasType
1406|211|hasType
1407|211|hasType
1408|97|hasType
1409|59|hasType
1410|211|hasType
1411|336|hasType
1412|115|hasType
1413|349|hasType
1414|82|hasType
1415|98|hasType
1416|88|hasType
1417|349|hasType
1418|349|hasType
1419|115|hasType
1420|349|hasType
1421|115|hasType
1422|211|hasType
1423|57|hasType
1424|3|hasType
1425|349|hasType
1426|250|hasType
1427|349|hasType
1428|211|hasType
1429|57|hasType
1430|115|hasType
1431|57|hasType
1432|211|hasType
1433|250|hasType
1434|211|hasType
1435|59|hasType
1436|336|hasType
1437|57|hasType
1438|88|hasType
1439|115|hasType
1440|3|hasType
1441|211|hasType
1442|57|hasType
1443|211|hasType
1444|98|hasType
1445|59|hasType
1446|211|hasType
1447|59|hasType
1448|336|hasType
1449|59|hasType
1450|336|hasType
1451|250|hasType
1452|250|hasType
1453|211|hasType
1454|82|hasType
1455|82|hasType
1456|115|hasType
1457|336|hasType
1458|59|hasType
1459|59|hasType
1460|336|hasType
1461|115|hasType
1462|336|hasType
1463|59|hasType
1464|250|hasType
1465|59|hasType
1466|59|hasType
1467|74|hasType
1468|250|hasType
1469|59|hasType
1470|59|hasType
1471|279|hasType
1472|115|hasType
1473|94|hasType
1474|336|hasType
1475|37|hasType
1476|211|hasType
1477|94|hasType
1478|250|hasType
1479|250|hasType
1480|250|hasType
1481|59|hasType
1482|94|hasType
1483|336|hasType
1484|94|hasType
1485|59|hasType
1486|59|hasType
1487|3|hasType
1488|211|hasType
1489|211|hasType
1490|115|hasType
1491|211|hasType
1492|211|hasType
1493|59|hasType
1494|349|hasType
1495|59|hasType
1496|310|hasType
1497|74|hasType
1498|279|hasType
1499|37|hasType
1500|349|hasType
1501|211|hasType
1502|250|hasType
1503|211|hasType
1504|336|hasType
1505|349|hasType
1506|349|hasType
1507|349|hasType
1508|349|hasType
1509|336|hasType
1510|82|hasType
1511|211|hasType
1512|349|hasType
1513|98|hasType
1514|349|hasType
1515|95|hasType
1516|349|hasType
1517|59|hasType
1518|211|hasType
1519|211|hasType
1520|211|hasType
1521|211|hasType
1522|98|hasType
1523|279|hasType
1524|310|hasType
1525|115|hasType
1526|57|hasType
1527|349|hasType
1528|211|hasType
1529|88|hasType
1530|59|hasType
1531|349|hasType
1532|349|hasType
1533|349|hasType
1534|349|hasType
1535|211|hasType
1536|349|hasType
1537|72|hasType
1538|57|hasType
1539|349|hasType
1540|349|hasType
1541|349|hasType
1542|349|hasType
1543|104|hasType
1544|57|hasType
1545|332|hasType
1546|211|hasType
1547|336|hasType
1548|279|hasType
1549|349|hasType
1550|82|hasType
1551|211|hasType
1552|279|hasType
1553|211|hasType
1554|57|hasType
1555|349|hasType
1556|349|hasType
1557|3|hasType
1558|59|hasType
1559|336|hasType
1560|211|hasType
1561|88|hasType
1562|336|hasType
1563|336|hasType
1564|336|hasType
1565|349|hasType
1566|59|hasType
1567|59|hasType
1568|59|hasType
1569|59|hasType
1570|336|hasType
1571|98|hasType
1572|279|hasType
1573|211|hasType
1574|211|hasType
1575|59|hasType
1576|82|hasType
1577|211|hasType
1578|211|hasType
1579|336|hasType
1580|211|hasType
1581|3|hasType
1582|211|hasType
1583|349|hasType
1584|279|hasType
1585|88|hasType
1586|279|hasType
1587|211|hasType
1588|211|hasType
1589|211|hasType
1590|74|hasType
1591|211|hasType
1592|336|hasType
1593|193|hasType
1594|211|hasType
1595|336|hasType
1596|349|hasType
1597|336|hasType
1598|336|hasType
1599|336|hasType
1600|349|hasType
1601|349|hasType
1602|74|hasType
1603|336|hasType
1604|336|hasType
1605|336|hasType
1606|336|hasType
1607|88|hasType
1608|59|hasType
1609|336|hasType
1610|336|hasType
1611|211|hasType
1612|211|hasType
1613|211|hasType
1614|88|hasType
1615|211|hasType
1616|88|hasType
1617|211|hasType
1618|82|hasType
1619|211|hasType
1620|115|hasType
1621|115|hasType
1622|115|hasType
1623|211|hasType
1624|211|hasType
1625|115|hasType
1626|94|hasType
1627|88|hasType
1628|211|hasType
1629|211|hasType
1630|349|hasType
1631|279|hasType
1632|82|hasType
1633|349|hasType
1634|74|hasType
1635|211|hasType
1636|3|hasType
1637|191|hasType
1638|96|hasType
1639|88|hasType
1640|349|hasType
1641|115|hasType
1642|115|hasType
1643|211|hasType
1644|211|hasType
1645|349|hasType
1646|211|hasType
1647|211|hasType
1648|336|hasType
1649|59|hasType
1650|88|hasType
1651|59|hasType
1652|59|hasType
1653|88|hasType
1654|211|hasType
1655|59|hasType
1656|148|hasType
1657|59|hasType
1658|59|hasType
1659|336|hasType
