:START_ID(Post)|:END_ID(Place)|:TYPE
343597383826|56|isLocatedIn
343597383827|56|isLocatedIn
343597383828|56|isLocatedIn
343597383829|56|isLocatedIn
343597383830|56|isLocatedIn
343597383831|56|isLocatedIn
343597383832|56|isLocatedIn
343597383833|56|isLocatedIn
343597383834|4|isLocatedIn
343597383835|56|isLocatedIn
343597383836|60|isLocatedIn
343597383837|56|isLocatedIn
343597383838|56|isLocatedIn
343597383839|56|isLocatedIn
343597383840|56|isLocatedIn
343597383841|56|isLocatedIn
343597383842|56|isLocatedIn
343597383843|56|isLocatedIn
343597383844|56|isLocatedIn
343597383845|56|isLocatedIn
343597383846|56|isLocatedIn
343597383847|56|isLocatedIn
343597383848|56|isLocatedIn
343597383849|56|isLocatedIn
343597383850|56|isLocatedIn
343597383851|56|isLocatedIn
343597383852|56|isLocatedIn
343597383853|56|isLocatedIn
343597383854|56|isLocatedIn
343597383855|56|isLocatedIn
343597383856|56|isLocatedIn
343597383857|56|isLocatedIn
343597383858|31|isLocatedIn
343597383859|56|isLocatedIn
343597383860|56|isLocatedIn
343597383861|56|isLocatedIn
343597383862|56|isLocatedIn
343597383863|56|isLocatedIn
206158430392|56|isLocatedIn
206158430393|56|isLocatedIn
206158430394|56|isLocatedIn
206158430395|56|isLocatedIn
206158430396|56|isLocatedIn
206158430397|56|isLocatedIn
206158430398|56|isLocatedIn
206158430399|56|isLocatedIn
206158430400|56|isLocatedIn
206158430401|56|isLocatedIn
206158430402|56|isLocatedIn
206158430403|56|isLocatedIn
206158430404|56|isLocatedIn
206158430405|56|isLocatedIn
206158430406|56|isLocatedIn
206158430407|56|isLocatedIn
206158430435|56|isLocatedIn
206158430436|56|isLocatedIn
206158430437|56|isLocatedIn
206158430438|56|isLocatedIn
206158430439|56|isLocatedIn
206158430440|56|isLocatedIn
206158430441|56|isLocatedIn
206158430442|56|isLocatedIn
206158430443|56|isLocatedIn
206158430444|79|isLocatedIn
206158430445|56|isLocatedIn
206158430446|56|isLocatedIn
206158430447|56|isLocatedIn
206158430448|56|isLocatedIn
206158430449|56|isLocatedIn
68719476978|56|isLocatedIn
68719476979|56|isLocatedIn
68719476980|56|isLocatedIn
68719476981|56|isLocatedIn
68719476982|56|isLocatedIn
68719476983|56|isLocatedIn
68719476984|56|isLocatedIn
68719476985|56|isLocatedIn
137438953722|56|isLocatedIn
137438953723|56|isLocatedIn
206158430460|25|isLocatedIn
137438953732|25|isLocatedIn
137438953733|25|isLocatedIn
137438953734|25|isLocatedIn
137438953735|25|isLocatedIn
137438953736|25|isLocatedIn
137438953737|25|isLocatedIn
137438953738|25|isLocatedIn
137438953739|25|isLocatedIn
137438953740|25|isLocatedIn
137438953741|25|isLocatedIn
137438953742|25|isLocatedIn
137438953743|25|isLocatedIn
137438953744|25|isLocatedIn
137438953745|25|isLocatedIn
137438953746|25|isLocatedIn
137438953747|25|isLocatedIn
137438953748|25|isLocatedIn
137438953749|25|isLocatedIn
137438953750|25|isLocatedIn
274877907223|25|isLocatedIn
274877907224|25|isLocatedIn
274877907225|25|isLocatedIn
274877907226|25|isLocatedIn
274877907227|25|isLocatedIn
274877907228|25|isLocatedIn
274877907229|25|isLocatedIn
274877907230|25|isLocatedIn
274877907231|25|isLocatedIn
137438953760|25|isLocatedIn
137438953761|25|isLocatedIn
137438953762|25|isLocatedIn
137438953763|85|isLocatedIn
137438953764|25|isLocatedIn
274877907237|25|isLocatedIn
274877907238|25|isLocatedIn
274877907239|25|isLocatedIn
274877907240|25|isLocatedIn
274877907241|25|isLocatedIn
274877907242|25|isLocatedIn
274877907243|25|isLocatedIn
274877907244|25|isLocatedIn
274877907245|25|isLocatedIn
274877907246|25|isLocatedIn
274877907247|25|isLocatedIn
274877907248|25|isLocatedIn
274877907249|25|isLocatedIn
274877907250|25|isLocatedIn
206158430515|25|isLocatedIn
206158430516|25|isLocatedIn
206158430517|25|isLocatedIn
206158430518|25|isLocatedIn
206158430519|25|isLocatedIn
206158430520|25|isLocatedIn
206158430521|25|isLocatedIn
206158430522|25|isLocatedIn
206158430523|25|isLocatedIn
206158430524|25|isLocatedIn
206158430525|25|isLocatedIn
206158430526|25|isLocatedIn
206158430527|25|isLocatedIn
206158430528|25|isLocatedIn
206158430529|25|isLocatedIn
206158430530|25|isLocatedIn
206158430531|25|isLocatedIn
206158430532|25|isLocatedIn
137438953797|25|isLocatedIn
137438953798|25|isLocatedIn
137438953799|67|isLocatedIn
137438953800|25|isLocatedIn
137438953801|25|isLocatedIn
137438953802|25|isLocatedIn
343597384011|25|isLocatedIn
343597384012|25|isLocatedIn
343597384028|84|isLocatedIn
343597384029|84|isLocatedIn
343597384030|84|isLocatedIn
343597384031|84|isLocatedIn
343597384032|84|isLocatedIn
343597384033|84|isLocatedIn
68719477090|84|isLocatedIn
68719477091|84|isLocatedIn
68719477092|84|isLocatedIn
68719477093|84|isLocatedIn
68719477094|84|isLocatedIn
68719477095|84|isLocatedIn
68719477096|84|isLocatedIn
274877907305|84|isLocatedIn
274877907306|84|isLocatedIn
274877907307|84|isLocatedIn
274877907308|84|isLocatedIn
274877907309|84|isLocatedIn
274877907310|84|isLocatedIn
274877907311|84|isLocatedIn
274877907312|84|isLocatedIn
274877907313|84|isLocatedIn
274877907314|84|isLocatedIn
274877907315|84|isLocatedIn
274877907316|84|isLocatedIn
274877907317|84|isLocatedIn
274877907318|84|isLocatedIn
274877907319|84|isLocatedIn
274877907320|84|isLocatedIn
274877907321|84|isLocatedIn
274877907322|84|isLocatedIn
274877907323|84|isLocatedIn
274877907324|84|isLocatedIn
274877907325|84|isLocatedIn
274877907326|84|isLocatedIn
274877907327|84|isLocatedIn
274877907328|84|isLocatedIn
274877907329|84|isLocatedIn
274877907330|84|isLocatedIn
274877907331|84|isLocatedIn
274877907332|84|isLocatedIn
274877907333|84|isLocatedIn
274877907334|84|isLocatedIn
274877907335|84|isLocatedIn
274877907336|84|isLocatedIn
274877907337|84|isLocatedIn
274877907338|84|isLocatedIn
274877907339|84|isLocatedIn
343597384076|84|isLocatedIn
343597384077|84|isLocatedIn
137438953870|84|isLocatedIn
137438953871|84|isLocatedIn
137438953872|84|isLocatedIn
137438953873|75|isLocatedIn
137438953874|84|isLocatedIn
137438953875|16|isLocatedIn
137438953876|84|isLocatedIn
137438953877|84|isLocatedIn
137438953878|84|isLocatedIn
137438953879|84|isLocatedIn
137438953880|84|isLocatedIn
137438953881|69|isLocatedIn
137438953882|84|isLocatedIn
137438953883|84|isLocatedIn
206158430620|84|isLocatedIn
206158430621|84|isLocatedIn
206158430622|84|isLocatedIn
206158430623|84|isLocatedIn
206158430624|84|isLocatedIn
206158430625|84|isLocatedIn
206158430626|84|isLocatedIn
206158430627|84|isLocatedIn
206158430628|84|isLocatedIn
206158430629|84|isLocatedIn
206158430630|84|isLocatedIn
206158430631|84|isLocatedIn
206158430632|84|isLocatedIn
206158430633|84|isLocatedIn
206158430634|84|isLocatedIn
206158430635|84|isLocatedIn
206158430636|84|isLocatedIn
206158430637|84|isLocatedIn
206158430638|84|isLocatedIn
206158430639|84|isLocatedIn
206158430640|84|isLocatedIn
206158430641|84|isLocatedIn
206158430642|84|isLocatedIn
206158430643|84|isLocatedIn
206158430644|84|isLocatedIn
206158430645|84|isLocatedIn
206158430646|84|isLocatedIn
206158430647|84|isLocatedIn
206158430648|84|isLocatedIn
441|84|isLocatedIn
442|84|isLocatedIn
443|84|isLocatedIn
444|84|isLocatedIn
274877907389|84|isLocatedIn
274877907390|84|isLocatedIn
274877907391|84|isLocatedIn
274877907392|84|isLocatedIn
274877907393|84|isLocatedIn
274877907394|84|isLocatedIn
274877907395|84|isLocatedIn
274877907396|84|isLocatedIn
274877907397|84|isLocatedIn
274877907398|84|isLocatedIn
274877907399|84|isLocatedIn
274877907400|84|isLocatedIn
274877907401|84|isLocatedIn
274877907402|84|isLocatedIn
274877907403|84|isLocatedIn
274877907404|84|isLocatedIn
274877907405|84|isLocatedIn
206158430670|84|isLocatedIn
206158430671|84|isLocatedIn
206158430672|84|isLocatedIn
206158430673|84|isLocatedIn
206158430674|84|isLocatedIn
206158430675|84|isLocatedIn
206158430676|84|isLocatedIn
206158430677|84|isLocatedIn
206158430678|84|isLocatedIn
206158430679|84|isLocatedIn
206158430680|84|isLocatedIn
206158430681|84|isLocatedIn
206158430682|84|isLocatedIn
206158430683|84|isLocatedIn
206158430684|84|isLocatedIn
206158430685|84|isLocatedIn
206158430686|84|isLocatedIn
206158430687|84|isLocatedIn
206158430688|84|isLocatedIn
206158430689|84|isLocatedIn
68719477242|0|isLocatedIn
137438953979|50|isLocatedIn
206158430724|50|isLocatedIn
206158430725|50|isLocatedIn
206158430726|50|isLocatedIn
206158430727|50|isLocatedIn
206158430728|50|isLocatedIn
206158430729|50|isLocatedIn
206158430730|50|isLocatedIn
206158430731|50|isLocatedIn
206158430732|50|isLocatedIn
206158430733|50|isLocatedIn
206158430734|50|isLocatedIn
206158430735|50|isLocatedIn
206158430736|50|isLocatedIn
206158430737|50|isLocatedIn
206158430738|50|isLocatedIn
206158430739|9|isLocatedIn
206158430740|50|isLocatedIn
137438954005|50|isLocatedIn
137438954006|50|isLocatedIn
137438954007|50|isLocatedIn
137438954008|50|isLocatedIn
137438954009|50|isLocatedIn
137438954010|51|isLocatedIn
274877907483|50|isLocatedIn
343597384220|50|isLocatedIn
343597384221|50|isLocatedIn
343597384222|50|isLocatedIn
343597384223|50|isLocatedIn
206158430752|50|isLocatedIn
206158430753|50|isLocatedIn
206158430754|46|isLocatedIn
206158430755|50|isLocatedIn
206158430756|50|isLocatedIn
206158430757|50|isLocatedIn
206158430758|50|isLocatedIn
206158430759|50|isLocatedIn
206158430760|50|isLocatedIn
206158430761|50|isLocatedIn
206158430762|40|isLocatedIn
206158430763|50|isLocatedIn
206158430764|50|isLocatedIn
206158430765|50|isLocatedIn
206158430766|50|isLocatedIn
206158430767|50|isLocatedIn
206158430768|50|isLocatedIn
137438954052|50|isLocatedIn
137438954053|50|isLocatedIn
137438954054|50|isLocatedIn
137438954055|50|isLocatedIn
343597384264|108|isLocatedIn
343597384265|108|isLocatedIn
343597384266|108|isLocatedIn
343597384267|108|isLocatedIn
343597384268|108|isLocatedIn
343597384269|108|isLocatedIn
343597384270|108|isLocatedIn
343597384271|108|isLocatedIn
343597384272|108|isLocatedIn
343597384273|25|isLocatedIn
343597384274|108|isLocatedIn
343597384275|108|isLocatedIn
343597384276|108|isLocatedIn
343597384277|108|isLocatedIn
343597384278|108|isLocatedIn
343597384279|108|isLocatedIn
137438954072|108|isLocatedIn
137438954073|108|isLocatedIn
137438954074|108|isLocatedIn
274877907560|108|isLocatedIn
274877907561|108|isLocatedIn
274877907562|108|isLocatedIn
274877907563|108|isLocatedIn
274877907564|108|isLocatedIn
274877907565|108|isLocatedIn
274877907566|108|isLocatedIn
274877907567|108|isLocatedIn
274877907568|108|isLocatedIn
274877907569|108|isLocatedIn
274877907570|108|isLocatedIn
274877907571|108|isLocatedIn
274877907572|108|isLocatedIn
274877907573|108|isLocatedIn
274877907574|108|isLocatedIn
274877907590|108|isLocatedIn
274877907591|108|isLocatedIn
274877907592|108|isLocatedIn
274877907593|108|isLocatedIn
274877907594|108|isLocatedIn
274877907595|108|isLocatedIn
274877907596|108|isLocatedIn
274877907597|108|isLocatedIn
274877907598|43|isLocatedIn
274877907599|108|isLocatedIn
274877907600|108|isLocatedIn
274877907601|108|isLocatedIn
274877907602|108|isLocatedIn
274877907603|86|isLocatedIn
274877907604|108|isLocatedIn
274877907605|108|isLocatedIn
274877907606|108|isLocatedIn
274877907607|66|isLocatedIn
274877907608|108|isLocatedIn
274877907609|108|isLocatedIn
274877907610|108|isLocatedIn
274877907611|108|isLocatedIn
274877907612|108|isLocatedIn
274877907613|108|isLocatedIn
274877907614|108|isLocatedIn
274877907615|108|isLocatedIn
274877907616|108|isLocatedIn
274877907617|108|isLocatedIn
274877907618|108|isLocatedIn
274877907619|108|isLocatedIn
274877907620|108|isLocatedIn
274877907621|106|isLocatedIn
274877907634|106|isLocatedIn
274877907635|106|isLocatedIn
274877907636|106|isLocatedIn
274877907637|106|isLocatedIn
274877907638|106|isLocatedIn
274877907639|106|isLocatedIn
274877907640|106|isLocatedIn
274877907641|106|isLocatedIn
274877907642|106|isLocatedIn
274877907643|106|isLocatedIn
274877907644|106|isLocatedIn
274877907645|106|isLocatedIn
274877907646|106|isLocatedIn
274877907647|106|isLocatedIn
274877907648|106|isLocatedIn
274877907649|106|isLocatedIn
274877907650|106|isLocatedIn
274877907651|106|isLocatedIn
274877907652|106|isLocatedIn
274877907653|106|isLocatedIn
274877907654|106|isLocatedIn
274877907655|106|isLocatedIn
274877907656|106|isLocatedIn
274877907657|106|isLocatedIn
274877907658|106|isLocatedIn
274877907659|106|isLocatedIn
274877907660|106|isLocatedIn
274877907661|106|isLocatedIn
274877907662|106|isLocatedIn
274877907663|106|isLocatedIn
274877907664|106|isLocatedIn
206158430929|106|isLocatedIn
206158430930|106|isLocatedIn
206158430931|106|isLocatedIn
206158430932|106|isLocatedIn
206158430933|106|isLocatedIn
206158430934|106|isLocatedIn
206158430935|106|isLocatedIn
206158430936|106|isLocatedIn
206158430937|106|isLocatedIn
206158430938|106|isLocatedIn
206158430939|106|isLocatedIn
206158430940|106|isLocatedIn
206158430941|106|isLocatedIn
206158430942|106|isLocatedIn
206158430943|106|isLocatedIn
206158430944|106|isLocatedIn
206158430945|106|isLocatedIn
206158430946|106|isLocatedIn
206158430947|106|isLocatedIn
206158430948|106|isLocatedIn
206158430949|106|isLocatedIn
206158430950|106|isLocatedIn
206158430951|106|isLocatedIn
206158430952|106|isLocatedIn
206158430953|106|isLocatedIn
206158430954|106|isLocatedIn
206158430955|106|isLocatedIn
206158430956|106|isLocatedIn
206158430957|106|isLocatedIn
206158430958|106|isLocatedIn
206158430959|106|isLocatedIn
206158430960|106|isLocatedIn
206158430961|106|isLocatedIn
274877907705|103|isLocatedIn
274877907706|103|isLocatedIn
274877907707|103|isLocatedIn
274877907708|103|isLocatedIn
274877907709|103|isLocatedIn
274877907710|103|isLocatedIn
274877907711|103|isLocatedIn
274877907712|103|isLocatedIn
274877907713|103|isLocatedIn
274877907714|103|isLocatedIn
274877907715|103|isLocatedIn
274877907716|103|isLocatedIn
274877907717|103|isLocatedIn
343597384454|103|isLocatedIn
343597384455|103|isLocatedIn
343597384456|103|isLocatedIn
343597384457|103|isLocatedIn
343597384458|103|isLocatedIn
343597384459|103|isLocatedIn
206158431019|85|isLocatedIn
206158431020|85|isLocatedIn
206158431021|85|isLocatedIn
206158431022|85|isLocatedIn
206158431023|85|isLocatedIn
206158431024|85|isLocatedIn
206158431025|85|isLocatedIn
206158431026|85|isLocatedIn
206158431027|85|isLocatedIn
206158431028|85|isLocatedIn
206158431029|85|isLocatedIn
206158431030|85|isLocatedIn
206158431031|85|isLocatedIn
206158431032|85|isLocatedIn
206158431033|85|isLocatedIn
206158431034|83|isLocatedIn
206158431035|85|isLocatedIn
206158431036|85|isLocatedIn
206158431037|85|isLocatedIn
206158431038|85|isLocatedIn
206158431039|85|isLocatedIn
206158431040|85|isLocatedIn
206158431041|85|isLocatedIn
137438954306|85|isLocatedIn
137438954307|85|isLocatedIn
137438954308|85|isLocatedIn
137438954309|85|isLocatedIn
137438954310|85|isLocatedIn
137438954311|85|isLocatedIn
137438954312|85|isLocatedIn
137438954313|106|isLocatedIn
274877907786|85|isLocatedIn
274877907787|85|isLocatedIn
274877907788|85|isLocatedIn
274877907789|85|isLocatedIn
274877907790|85|isLocatedIn
274877907791|85|isLocatedIn
274877907792|85|isLocatedIn
274877907793|85|isLocatedIn
274877907794|85|isLocatedIn
274877907795|85|isLocatedIn
274877907796|85|isLocatedIn
274877907797|85|isLocatedIn
206158431074|85|isLocatedIn
206158431075|85|isLocatedIn
206158431076|85|isLocatedIn
206158431077|85|isLocatedIn
206158431078|85|isLocatedIn
206158431079|85|isLocatedIn
68719477608|85|isLocatedIn
68719477609|85|isLocatedIn
68719477610|85|isLocatedIn
137438954347|41|isLocatedIn
137438954348|85|isLocatedIn
137438954349|85|isLocatedIn
137438954350|85|isLocatedIn
137438954351|85|isLocatedIn
137438954352|85|isLocatedIn
137438954353|85|isLocatedIn
137438954354|85|isLocatedIn
137438954355|85|isLocatedIn
137438954356|48|isLocatedIn
137438954357|85|isLocatedIn
137438954358|85|isLocatedIn
137438954359|85|isLocatedIn
137438954360|85|isLocatedIn
137438954361|85|isLocatedIn
137438954362|85|isLocatedIn
137438954363|85|isLocatedIn
137438954364|77|isLocatedIn
137438954365|85|isLocatedIn
137438954366|85|isLocatedIn
137438954367|85|isLocatedIn
137438954368|85|isLocatedIn
137438954369|85|isLocatedIn
137438954370|85|isLocatedIn
137438954371|85|isLocatedIn
137438954372|85|isLocatedIn
137438954373|85|isLocatedIn
137438954374|85|isLocatedIn
137438954375|85|isLocatedIn
137438954376|85|isLocatedIn
137438954377|85|isLocatedIn
137438954378|85|isLocatedIn
343597384587|78|isLocatedIn
343597384605|78|isLocatedIn
206158431143|1|isLocatedIn
206158431144|1|isLocatedIn
206158431145|1|isLocatedIn
206158431146|1|isLocatedIn
206158431147|1|isLocatedIn
206158431148|1|isLocatedIn
206158431149|1|isLocatedIn
206158431150|1|isLocatedIn
206158431151|1|isLocatedIn
206158431152|1|isLocatedIn
206158431153|1|isLocatedIn
206158431154|1|isLocatedIn
206158431155|1|isLocatedIn
206158431156|1|isLocatedIn
206158431157|1|isLocatedIn
206158431158|1|isLocatedIn
206158431159|1|isLocatedIn
206158431160|1|isLocatedIn
206158431161|1|isLocatedIn
206158431162|1|isLocatedIn
343597384635|1|isLocatedIn
274877907900|1|isLocatedIn
274877907901|1|isLocatedIn
274877907902|1|isLocatedIn
274877907903|1|isLocatedIn
206158431175|1|isLocatedIn
206158431176|1|isLocatedIn
274877907913|50|isLocatedIn
274877907914|50|isLocatedIn
274877907915|50|isLocatedIn
274877907916|50|isLocatedIn
274877907917|50|isLocatedIn
274877907918|50|isLocatedIn
274877907919|50|isLocatedIn
274877907920|50|isLocatedIn
274877907921|50|isLocatedIn
274877907922|50|isLocatedIn
274877907923|50|isLocatedIn
274877907924|50|isLocatedIn
274877907925|50|isLocatedIn
274877907926|50|isLocatedIn
274877907927|50|isLocatedIn
274877907928|50|isLocatedIn
274877907929|50|isLocatedIn
274877907930|50|isLocatedIn
274877907931|50|isLocatedIn
274877907932|50|isLocatedIn
274877907933|64|isLocatedIn
274877907934|50|isLocatedIn
274877907935|50|isLocatedIn
274877907936|50|isLocatedIn
274877907937|50|isLocatedIn
274877907938|50|isLocatedIn
274877907939|50|isLocatedIn
274877907940|50|isLocatedIn
274877907941|50|isLocatedIn
274877907942|50|isLocatedIn
274877907943|50|isLocatedIn
274877907944|50|isLocatedIn
274877907945|50|isLocatedIn
274877907946|50|isLocatedIn
274877907947|50|isLocatedIn
274877907948|50|isLocatedIn
274877907949|50|isLocatedIn
274877907950|50|isLocatedIn
274877907951|50|isLocatedIn
274877907952|50|isLocatedIn
274877907953|50|isLocatedIn
274877907954|50|isLocatedIn
274877907955|67|isLocatedIn
274877907956|50|isLocatedIn
274877907957|50|isLocatedIn
274877907958|50|isLocatedIn
274877907959|50|isLocatedIn
274877907960|50|isLocatedIn
274877907961|3|isLocatedIn
274877907962|50|isLocatedIn
274877907963|50|isLocatedIn
274877907964|50|isLocatedIn
274877907965|50|isLocatedIn
343597384702|50|isLocatedIn
343597384703|50|isLocatedIn
343597384704|50|isLocatedIn
343597384705|50|isLocatedIn
343597384706|50|isLocatedIn
343597384707|50|isLocatedIn
343597384708|50|isLocatedIn
343597384709|50|isLocatedIn
343597384710|87|isLocatedIn
343597384711|50|isLocatedIn
274877907993|61|isLocatedIn
274877907994|61|isLocatedIn
274877907995|54|isLocatedIn
274877907996|61|isLocatedIn
274877907997|61|isLocatedIn
274877907998|61|isLocatedIn
274877907999|61|isLocatedIn
274877908003|88|isLocatedIn
343597384751|50|isLocatedIn
343597384771|79|isLocatedIn
343597384772|79|isLocatedIn
343597384773|79|isLocatedIn
343597384774|79|isLocatedIn
343597384775|79|isLocatedIn
343597384776|79|isLocatedIn
343597384777|79|isLocatedIn
343597384778|79|isLocatedIn
343597384779|79|isLocatedIn
343597384780|79|isLocatedIn
343597384781|79|isLocatedIn
343597384782|79|isLocatedIn
343597384783|79|isLocatedIn
343597384784|79|isLocatedIn
343597384785|79|isLocatedIn
343597384786|79|isLocatedIn
343597384787|79|isLocatedIn
343597384788|79|isLocatedIn
343597384789|79|isLocatedIn
343597384790|79|isLocatedIn
343597384791|79|isLocatedIn
343597384792|79|isLocatedIn
343597384793|79|isLocatedIn
343597384794|79|isLocatedIn
343597384795|79|isLocatedIn
343597384796|79|isLocatedIn
343597384797|79|isLocatedIn
343597384798|79|isLocatedIn
343597384799|79|isLocatedIn
343597384800|79|isLocatedIn
343597384801|79|isLocatedIn
343597384802|79|isLocatedIn
274877908067|79|isLocatedIn
274877908068|79|isLocatedIn
274877908069|79|isLocatedIn
274877908070|79|isLocatedIn
274877908071|79|isLocatedIn
274877908072|79|isLocatedIn
274877908073|79|isLocatedIn
274877908074|79|isLocatedIn
1131|88|isLocatedIn
1132|88|isLocatedIn
1133|88|isLocatedIn
274877908078|88|isLocatedIn
274877908079|88|isLocatedIn
274877908080|88|isLocatedIn
274877908081|88|isLocatedIn
274877908082|88|isLocatedIn
274877908083|88|isLocatedIn
274877908084|88|isLocatedIn
274877908085|88|isLocatedIn
274877908086|88|isLocatedIn
274877908087|88|isLocatedIn
274877908088|88|isLocatedIn
274877908089|70|isLocatedIn
274877908090|88|isLocatedIn
274877908091|88|isLocatedIn
274877908092|88|isLocatedIn
274877908093|88|isLocatedIn
274877908094|88|isLocatedIn
343597384851|88|isLocatedIn
343597384852|88|isLocatedIn
68719477909|88|isLocatedIn
68719477910|88|isLocatedIn
68719477911|88|isLocatedIn
68719477912|88|isLocatedIn
68719477913|88|isLocatedIn
68719477914|88|isLocatedIn
68719477915|88|isLocatedIn
68719477916|88|isLocatedIn
68719477917|88|isLocatedIn
206158431390|88|isLocatedIn
206158431391|88|isLocatedIn
206158431392|88|isLocatedIn
206158431393|88|isLocatedIn
206158431394|88|isLocatedIn
206158431395|88|isLocatedIn
206158431396|88|isLocatedIn
206158431397|88|isLocatedIn
206158431398|88|isLocatedIn
206158431399|88|isLocatedIn
206158431400|88|isLocatedIn
206158431401|88|isLocatedIn
206158431402|88|isLocatedIn
137438954667|88|isLocatedIn
137438954668|88|isLocatedIn
137438954669|88|isLocatedIn
137438954670|42|isLocatedIn
137438954671|88|isLocatedIn
137438954672|88|isLocatedIn
137438954673|88|isLocatedIn
137438954674|88|isLocatedIn
137438954675|88|isLocatedIn
137438954676|88|isLocatedIn
137438954677|88|isLocatedIn
137438954678|82|isLocatedIn
137438954679|88|isLocatedIn
137438954680|88|isLocatedIn
137438954681|88|isLocatedIn
137438954682|88|isLocatedIn
137438954683|88|isLocatedIn
137438954684|88|isLocatedIn
137438954685|88|isLocatedIn
137438954686|88|isLocatedIn
68719477951|88|isLocatedIn
68719477952|88|isLocatedIn
68719477953|88|isLocatedIn
68719477954|88|isLocatedIn
68719477955|88|isLocatedIn
206158431429|29|isLocatedIn
206158431430|29|isLocatedIn
206158431431|29|isLocatedIn
206158431432|29|isLocatedIn
206158431433|29|isLocatedIn
206158431434|29|isLocatedIn
206158431435|29|isLocatedIn
206158431436|29|isLocatedIn
206158431437|29|isLocatedIn
206158431438|29|isLocatedIn
206158431439|29|isLocatedIn
206158431440|29|isLocatedIn
206158431441|29|isLocatedIn
206158431442|29|isLocatedIn
206158431443|29|isLocatedIn
206158431444|29|isLocatedIn
206158431445|29|isLocatedIn
206158431446|94|isLocatedIn
206158431447|29|isLocatedIn
206158431448|29|isLocatedIn
206158431449|29|isLocatedIn
206158431450|29|isLocatedIn
206158431451|63|isLocatedIn
